Text,Topic,Source,Type,Year,Authors
"This paper proposes a single-bit consensus with ability to converge in finite-time. The main feature of this consensus protocol is the single-bit information update. The consensus protocol is proposed based on the sign of difference between state values. This implies that only single-bit of information (the sign) is required to update the state of the agents. This reduces the amount of processing/computation load and/or network communication load at each agent. It should be emphasized that in applications with real-time data processing where the computation and communication are required in faster time scale, the less computation and/or communication load is a significant merit. Since the protocol is nonlinear, a new Lyapunov function is proposed to prove consensus stability. Further, it is proved that for the proposed single-bit consensus protocol the Lyapunov function vanishes in finite-time, implying the finite-time convergence of the consensus protocol. In [4]–[6] finite-time consensus protocols are proposed, however these protocols impose large amount of computation on agents and are computationally less efficient than the proposed single-bit protocol in this paper.
Quantized consensus [12], [26], [27] is a related concept, where the agents reach consensus on quantized information with finite quantization levels for possibly unbounded data. In this direction [27] investigates a deterministic quantization based on alternating direction method of multipliers (ADMM). In [12] authors adopt a single-bit quantized consensus method for detection based on Bayesian criterion and Neyman-Pearson criterion. In [13] the authors propose two consensus+innovation type distributed detectors based on Generalized Likelihood-Ratio Test (GLRT) for composite hypothesis testing via a group of sensors. Further, communication in multi-agent systems based on single-bit of information is also adopted in distributed detection [28], [29]. In these works a group of sensors are spatially distributed over a surveillance field to locally detect the existence of an uncooperative target and then communicate their single-bit decisions to a fusion center. The single-bit decisions are based on either the hybrid combination of GLRT and Bayesian estimation [29] or Generalized-Rao Test [28]. The fusion center combines the received information based on the fusion rules and makes a global decision.
The main contributions of this paper are as follows: (i) the proposed protocol is based on single-bit of information, which makes it practical in real-time system applications. This is the most important feature of our proposed protocol. (ii) a new Lyapunov function is proposed to prove the stability and convergence of this nonlinear consensus protocol under certain connectivity condition.","Systems and Control, Single-Bit Consensus with Finite-Time Convergence: Theory and Applications",arxiv.org,Journal Paper,"2020, Jan 1",Mohammadreza Doostmohammadian
"Despite great advances in the theory of nonlinear controls, when it comes to practical implementation, PD control laws undisputably continue to be the most popular choice. [33, Table 1A] shows a detailed account on the list of controllers used and their corresponding acceptance ratings. The popularity of this type of control laws arises from its ease of implementation and robustness due to its model independent nature. This popularity has equally pervaded robotic systems. In fact, there are formal guarantees of stability for a broad class of robots that includes manipulators [21,36]. See Table 1, which shows a list of stability results. A more detailed list of these types of control laws and the corresponding stability results are given in [5, Table 1.1].
Despite the increase in complexity of the models, PD control laws have dominated even the domain of bipedal robots. Bipedal locomotion is hybrid in nature, with alternating phases of continuous (swinging forward of the nonstance foot) and discrete events (instantaneous impact of the nonstance foot with ground). In addition, unlike the industrial robotic arms, which have a fixed base, bipedal robots are largely underactuated. Fig. 1 shows some examples of bipedal robots that used PD and PD based tracking control laws. It is worth noting that the reference trajectories that were tracked were obtained offline. In fact, the field of locomotion has largely focused on experimental realization by dividing the problem into two parts. First, obtain reference trajectories/gaits in a simulation model by using offline optimization tools [11,31]. Second, play these trajectories in the robot by a low level tracking control law [12,32,40]. Due to uncertainties in the system, model based controllers were generally avoided, thereby giving preference to the more traditional PD based control laws. These control laws are known to be “hassle free”, since they are model-independent and easy to implement. Therefore, the main goal of this paper is to explore the stability properties of PD control laws for walking robots, which include varying levels of complexity due to the presence of impacts and underactuations.
We will be establishing stability of PD control laws by the construction of strict Lyapunov functions developed by Arimoto et. al. [2], Koditschek [18], and Bayard and Wen [36] all in the same period of time 1984-1988. Local and global stability results were shown for both stationary and time varying desired configurations [15,19,38], but only for fully actuated systems.","Robotics, Local Stability of PD Controlled Bipedal Walking Robots",arxiv.org,Journal Paper,"2020, Jan 1",Shishir Kolathaya
"A major challenge in the analysis of temporal networks is that one often has to discretize time by aggregating connections into time windows. Given a discrete or discretized set of interactions, one can then analyze communities, important nodes, and other facets of such networks by examining a multilayer-network representation of these interactions [1], [32], [40], [75]. An important challenge that arises with aggregation is that there may not be any obvious or even any ‘correct’ size of a time window (even when such aggregation employs non-uniform time windows [12], [68], [69], [74]). A window that is too small risks missing important network structures (e.g., by construing a signal as noise), but using an overly large window may obscure important temporal features. (See [18] for one discussion.) Moreover, in many social systems, interactions are bursty [4], [33], [41], which is a crucial consideration when aggregating interactions [31] and is potentially a major cause of concern when using homogeneous time windows [69]. Bursty interactions not only present a challenge when choosing the width of the time windows, but they also challenge where to place the boundaries such windows. Shifting time windows forward or backward may significantly alter the statistics of a data set, even when one does not change the width of the windows [41].
From a modeling perspective, aggregating interactions often may not be an appropriate approach for systems with asynchronous activity or which evolve continuously in time. See [79] for an investigation of biological contagions, [84] for a study of influential users in social networks, [85], [86] for a generalization of the formalism of ‘activity-driven networks’ to continuous time, [57] for a study of rankings in competitive sports, and [19] for a general continuous-time framework for temporal networks. In many cases, contacts in a temporal network can have a noninstantaneous duration, and it can be important to take such information into account [61], [71]. For example, the phone-call data that were studied in [28] require contacts to exist for the duration of a phone call. In other cases, interactions can be instantaneous (e.g., a mention in a tweet, a text message, and so on), and their importance decreases over time [11], [46]. For many types of temporal networks (e.g., feeds on social media), there is also a decay in attention span for reacting to posts [30], [49], [50].","Physics and Society, Tie-decay networks in continuous time and eigenvector-based centralities",arxiv.org,Paper,"2021, Jan 1","Walid Ahmad, Mason A. Porter, Mariano Beguerisse-Díaz"
"Image and video upscaling has been studied for decades and remains an active topic of research because of constant technological advances in digital imaging. One scenario where upscaling is now more demanding arises in digital display technologies, where new standards like BT.2020 [1] are introduced. The resolution of digital displays has experienced a tremendous growth over the past few decades, as shown in Figure 1. The transition between different formats leads to a challenging problem. On one hand, large amount of digital content still exist in popular old standards such as standard– definition (SD). On the other hand, the latest display technologies (e.g. 4K, 8K and above) are expected to show this content with reasonable quality. Standard upscaling technologies are clearly insufficient for this purpose. While a 2× upscaler maps 1 input pixel into 4 output pixels, an 8× upscaler maps 1 input pixel into 64 output pixels, which already can contain a small image. The problem demands advanced solutions that are capable of understanding the content and filling in these large pieces of images with visually appealing and consistent information. In particular, large upscaling factors are needed to convert SD to ultra high–definition (UHD) resolutions. Thus, large upscaling represents a real problem in current market and it is expected to persist and become even more challenging with the rapid development of new technologies.
In classical interpolation theory, upscaling images by integer factors is explained as two sequential processes: upsample (insert zeros) and filter [2], [3]. Standard upscaler algorithms, such as Bicubic or Lanczos, find high–resolution images with a narrow frequency content by using fixed low–pass filters. Modern tensor processing frameworks (e.g. Pytorch, Tensorflow, etc.) implement this process using a so–called strided transposed convolutional layer. Similarly, the image acquisition process can be modeled as: filter and downsample (drop samples). Many times we know the explicit model, e.g. bicubic downscaler. Tensor processing frameworks implement this process using a strided convolutional layer.
More advanced upscalers have followed geometric principles to improve image quality. For example, edge–directed interpolation uses adaptive filters to improve edge smoothness [4], [5], or bandlet methods use both adaptive upsampling and filtering [6]. Later on, machine learning has been able to use examples of pristine high–resolution images to learn a mapping from low–resolution [7]. The rise of deep–learning and convolutional networks in image classification tasks [8] quickly saw a series of important improvements in image resizing with large upscaling factors, which is the process widely know as image super–resolution (SR).","Image and Video Processing, Multi-Grid Back-Projection Networks",arxiv.org,Journal Paper,"2021, Jan 1","Pablo Navarrete Michelini, Wenbin Chen, Hanwen Liu, Dan Zhu, Xingqun Jiang"
"As Nyman and Ormerod (2017) note, over the past fifty years or so, a track record of macroeconomic forecasts and their accuracy has been built up on forecasting accuracy, especially with respect to the one year ahead predictions for growth.
A particular problem is the very poor record of predicting recessions. The failure to forecast the financial crisis recession of the late 2000s is well known. But this is a constant theme in the forecasting record over the past 50 years.
For example, four quarters ahead, the mean prediction of the large number of forecasters reported in the Survey of Professional Forecasters has never been for negative growth. In contrast, since 1968 there are 23 examples in the actual data of US real GDP growth being less than zero in a quarter.
Nyman and Ormerod (op.cit.) show that applying a random forest algorithm to a small set of monetary variables generates four-quarter ahead predictions of real US GDP growth which are much better over the 1990-2017 period than those reported by the Survey of Professional Forecasters. Similar results are obtained for the UK.
The machine learning algorithm captures the shallow recession of the early 1990s, the marked slow down (although not technically a recession) in the US economy in the early 2000s after the dotcom crash, and the recession of 2008/09. It does not predict a recession when one did not occur.
In this paper, we extend the previous results on forecasting the Great Recession by examining the contributions made to the Great Recession of the late 2000s by each of the small set of financial variables used in the prediction models. We disaggregate private sector debt into its household and non-financial corporate components.
Section 2 describes the methodology, and section 3 the results.
As described in Nyman and Ormerod (op.cit.), we try to replicate as closely as possible an actual forecasting situation.
The dependent variable in our analysis is the third estimate of real GDP growth in the relevant quarter, rather than the most recent estimate which is now available. The third estimate is in general the one on which policy makers would rely when trying to judge the current state of the economy at the time.
Friedman and Schwartz (1963) argued that the Federal Reserve’s monetary policies were largely to blame for the severity of the Great Depression. We therefore selected, on this a priori theoretical basis, a small set of monetary variables as potential explanatory factors. We selected them without any preliminary analysis as to whether they would be of any practical use in predicting recessions.","General Economics, Understanding the Great Recession Using Machine Learning Algorithms",arxiv.org,Paper,"2020, Jan 2","Rickard Nyman, Paul Ormerod"
"The Regression Discontinuity (RD) design is widely used in program evaluation, causal inference, and treatment effect settings. (For general background on these settings, see Imbens and Rubin (2015) and Abadie and Cattaneo (2018), and references therein.) In recent years, RD has become one of the prime research designs for the analysis and interpretation of observational studies in social, behavioral, biomedical, and statistical sciences. For introductions to RD designs, literature reviews, and background references, see Imbens and Lemieux (2008), Lee and Lemieux (2010), Cattaneo and Escanciano (2017), and Cattaneo, Idrobo, and Titiunik (2019, 2020). Modern empirical work in RD designs often employs a mean square error (MSE) optimal bandwidth for local polynomial estimation of and inference on treatment effects.1 This MSE-optimal bandwidth choice yields an MSE-optimal RD point estimator, but is by construction invalid for inference. Robust bias corrected (RBC) inference methods provide a natural solution to this problem: RBC confidence intervals and related inference procedures remain valid even when the MSE-optimal bandwidth is used (Calonico, Cattaneo, and Titiunik, 2014; Calonico, Cattaneo, Farrell, and Titiunik, 2019). In this paper, we show that this choice of bandwidth is suboptimal when the goal is to construct RBC confidence intervals with minimal coverage error (CE), and we establish a new bandwidth choice delivering CE-optimal RBC confidence interval estimators or, analogously, minimizing the error in rejection probability of the associated hypothesis testing procedures for RD treatment effects.
Our main results are valid coverage error expansions for local polynomial RBC confidence interval estimators. The precise characterization offered by these expansions allows us to study bandwidth selection in detail, and to propose several novel bandwidth choices that are optimal for inference. First and foremost, we derive a CE-optimal bandwidth choice designed to minimize coverage error of the interval estimator, which is a fundamentally different goal than minimizing mean square error of the point estimator. The MSE- and CE-optimal bandwidths are therefore complementary, as both can be used in empirical work to construct, respectively, optimal point estimators and optimal inference procedures for RD treatment effects. For example, we find that in the case of the popular local linear RD estimator, if the sample size is n = 500, then shrinking the MSE-optimal bandwidth by approximately 27% leads to RBC confidence intervals with the fastest coverage error decay rate. Further, we use our expansions to derive bandwidth choices that trade off coverage error against interval length, which is conceptually analogous to trading size and power of the associated statistical tests, while retaining asymptotically correct coverage (or size control).","Econometrics, Optimal Bandwidth Choice for Robust Bias Corrected Inference in Regression Discontinuity Designs",arxiv.org,Journal Paper,"2020, Jan 3","Sebastian Calonico, Matias D. Cattaneo, Max H. Farrell"
"A core goal of causal inference is to identify and estimate effects of a treatment variable on an outcome variable. A common assumption used to identify such effects is unconfoundedness, which says that potential outcomes are independent of treatment conditional on covariates. This assumption is also known as conditional independence, selection on observables, ignorability, or exogenous selection; see Imbens (2004) for a survey. This assumption is not refutable, meaning that the data alone cannot tell us whether it is true. Nonetheless, empirical researchers may wonder: How important is this assumption in their analyses? Put differently: How sensitive are their results to failures of the unconfoundedness assumption?
A large literature on sensitivity analysis has developed to answer this question. Moreover, researchers widely acknowledge that answering this question is an important step in empirical research. For example, in their figure 1, Caliendo and Kopeinig (2008) describe the workflow of a standard analysis using selection on observables. Their fifth and final step in this workflow is to perform sensitivity analysis to the unconfoundedness assumption. Imbens and Wooldridge (2009, section 6.2), Imbens and Rubin (2015, chapter 22), and Athey and Imbens (2017) all also recommend that researchers conduct sensitivity analyses to assess the importance of non-refutable identifying assumptions. In particular, Athey and Imbens (2017) describe these methods as “a systematic way of doing the sensitivity analyses that are routinely done in empirical work, but often in an unsystematic way.”
Most of the existing approaches to assessing unconfoundedness rely on strong auxiliary assumptions, however. For example, they often assume treatment effects are homogeneous and that all unobserved confounding arises due to a single unobserved variable whose distribution is parametrically specified, like a binary or normal distribution. They also often assume a parametric functional form for potential outcomes, like a logit model for binary potential outcomes or a linear model for continuous potential outcomes. These assumptions—which are not needed for identification of the baseline model when unconfoundedness holds—raise a new question: Are the findings of these sensitivity analyses themselves sensitive to these extra auxiliary assumptions?
In this paper, we provide a set of tools for assessing the sensitivity of the unconfoundedness assumption which do not rely on strong auxiliary assumptions that are not used for the baseline analysis. We do this by studying nonparametric relaxations of the unconfoundedness assumption. Specifically, we apply the identification results of Masten and Poirier (2018), who consider a class of assumptions called conditional c-dependence.","Econometric, Assessing Sensitivity to Unconfoundedness: Estimation and Inference",arxiv.org,Paper,"2020, Dec 31","Matthew A. Masten, Alexandre Poirier, Linqi Zhang"
"Inference under partial identification is by now the subject of a broad literature.1 Only recently did attention turn to the following concern: If a partially identified model is misspecified, this may manifest in either an empty or –and arguably worse– in a misleadingly small confidence region. That is, misspecified inference can be spuriously precise.
The reason is that most confidence regions used in partial identification invert tests of H0 : θ ∈ ΘI ; here, θ is a parameter and ΘI is the identified set. If H0 is rejected at every θ, the confidence region is empty. If H0 is barely not rejected at a few parameter values, the confidence region may be very small. This issue is empirically relevant. For example, an empty sample analog of ΘI occurs in de Quidt, Haushofer, and Roth (2018), whose inquiry sparked the present research and whose data are reanalyzed below.
The literature on this issue is still young. Ponomareva and Tamer (2011) provide an early diagnosis. Kaido and White (2013) propose a notion of pseudotrue identified set and an estimator thereof. Molinari (2020) explains the issue in detail and highlights it as important area for further investigation. The most thorough treatment is by Andrews and Kwon (2019), who emphasize the issue’s importance and provide a general inference method that avoids spurious precision and ensures coverage of a pseudotrue identified set.
The present paper is in the spirit of Andrews and Kwon (2019). I focus on the simple but empirically salient case of a scalar parameter with upper and lower bounds whose estimators are jointly asymptotically normal. That is, I revisit the setting of Imbens and Manski (2004, without their superefficiency assumption) and Stoye (2009). For this setting, I propose a confidence interval with the following features:
 • It is never empty nor very short (a lower bound on its length is reported later).
 • It exhibits asymptotically guaranteed coverage uniformly over the identified set and additionally for a well-defined pseudotrue parameter.
 • It tends to be shorter than more conventional intervals in benign cases, including in the empirical application.
 • It is free of tuning parameters and trivial to compute.
For target coverage of 95% and for the special case of uncorrelated estimators, e.g. in this paper’s empirical application, the confidence interval can be verbally defined as follows:
 • Add ±1.64 standard errors to estimators of upper and lower bounds.","Econometrics, A Simple, Short, but Never-Empty Confidence Interval for Partially Identified Parameters",arxiv.org,Paper,"2020, Dec 31",Jörg Stoye
"Statistical data analysis that disentangles the causal factors of data formation and computes a representation that facilitates the analysis, visualization, compression, approximation, and/or interpretation of the data is challenging and of paramount importance.
“Natural images are the composite consequence of multiple constituent factors related to scene structure, illumination conditions, and imaging conditions. Multilinear algebra, the algebra of higherorder tensors, offers a potent mathematical framework for analyzing the multifactor structure of image ensembles and for addressing the difficult problem of disentangling the constituent factors or modes.” (Vasilescu and Terzopoulos, 2002 [69])
Scene structure is composed from a set of objects that appear to be formed from a recursive hierarchy of perceptual wholes and parts whose properties, such as shape, reflectance, and color, constitute a hierarchy of intrinsic causal factors of object appearance. Object appearance is the compositional consequence of both an object’s intrinsic causal factors, and extrinsic causal factors with the latter related to illumination (i.e. the location and types of light sources), imaging (i.e. viewpoint, viewing direction, lens type and other camera characteristics). Intrinsic and extrinsic causal factors confound each other’s contributions hindering recognition.
“Intrinsic properties are by virtue of the thing itself and nothing else” (David Lewis, 1983 [42]); whereas an extrinsic properties are not entirely about that thing, but as result of the way the thing interacts with the world. Unlike global intrinsic properties, local intrinsic properties are intrinsic to a part of the thing, and it may be said that a local intrinsic property is in an “intrinsic fashion”, or “intrinsically” about the thing, rather than “is intrinsic” to the thing [21, 31]. David Lewis [42] provides a formal discussion of intrinsic and extrinsic concepts of causality and addresses a few related distinctions that an intuitive definition conflates, such as local versus global intrinsic properties, duplication preserving properties, and interior versus exterior properties. The meaning of intrinsic and extrinsic causation was extensively explored in philosophy, philosophy of mind, metaphysics and philosophy of physics [32, 42, 43, 46, 52].
Our goal is to explicitly represent local and global intrinsic causal factors as statistically invariant representations to all other causal factors of data formation.
Historically, statistical object recognition paradigms can be categorized based on how object structure is represented and recognized, ie. based on the appearance of an object’s local features [22, 75], or based on the overall global object appearance [2, 4, 26, 45, 56, 62, 78]. Both approaches have strengths and shortcomings.","Computer Vision and Pattern Recognition, Compositional Hierarchical Tensor Factorization: Representing Hierarchical Intrinsic and Extrinsic Causal Factors",arxiv.org,Journal Paper,"2020, Jan 1","M. Alex O. Vasilescu, Eric Kim"
"A major challenge in computer simulation of complex systems is to choose suitable model parameters. These parameters usually represent specific intrinsic attributes of the system. The input values of the model parameters can significantly affect the accuracy and usefulness of the computer output. When physical observations are available, one can adjust the computer model parameters so that the computer outputs match the physical data. We call this activity the calibration of computer models.
The celebrated Bayesian calibration method by Kennedy and O’Hagan [10] is one of the major and widely used approaches for the calibration of computer models. A remarkable contribution of [10] is to incorporate a “discrepancy function” to model the difference between the computer outputs and the physical process. This discrepancy does exist in most computer simulation problems, because we have to resort to simplifications and unrealistic assumptions when building the computer models.
Without an informative prior, the Kennedy and O’Hagan model is non-identifiable, because one cannot determine the model parameters and the discrepancy function simultaneously. Kennedy and O’Hagan [10] used a Gaussian process as a prior for the discrepancy function. Tuo and Wu [22] conducted a theoretical study on a simplified version of the Kennedy-O’Hagan method (abbreviated as the K-O method) when the physical data are noiseless. Under this condition, the radial basis functions approximation can be regarded as a frequentist version of Gaussian process regression. With the help of related mathematical tools, Tuo and Wu [22] identified the limit value of the Kennedy-O’Hagan method as well as the rate of convergence.
A primary goal of this work is to establish an asymptotic theory for the K-O method with noisy physical data. The frequentist version of the Gaussian process regression, in this situation, is the kernel ridge regression [15]. With an improved rate of convergence for kernel ridge regression, we prove that, under certain conditions, the K-O estimator tends to the parameter value which minimizes the norm of the residual function in the reproducing kernel Hilbert space. We also present the rate of convergence of the K-O estimator. As a consequence, we relax a key and rather restrictive assumption in [22]. Tuo and Wu had to assume that the physical experiments have no random errors, which is not realistic.
There is a vast literature on the theoretical properties of ridge kernel regression. It is known that the rate of convergence of this method can be improved by imposing extra smoothness conditions on the underlying function; see, e.g., [8].","Statistics Theory, On the Improved Rates of Convergence for Matérn-type Kernel Ridge Regression, with Application to Calibration of Computer Models",arxiv.org,Paper,"2020, Jan 1","Rui Tuo, Yan Wang, C. F. Jeff Wu"
