,max_depth,min_child_weight,subsample,gamma,train_accuracy,test_accuracy,diff_train_test,precision,recall,f1_score
3,3,5,0.7,5,0.97375,0.95,0.02375000000000005,0.9368932038834952,0.965,0.9507389162561576
93,4,10,1.0,1,0.981875,0.9575,0.024375000000000036,0.9420289855072463,0.975,0.9582309582309583
131,5,5,0.7,5,0.975625,0.95,0.02562500000000001,0.9326923076923077,0.97,0.9509803921568627
71,4,5,0.8,5,0.97375,0.9475,0.026249999999999996,0.9282296650717703,0.97,0.9486552567237164
6,3,5,0.8,2,0.984375,0.9575,0.026874999999999982,0.9420289855072463,0.975,0.9582309582309583
87,4,10,0.8,5,0.971875,0.945,0.026875000000000093,0.9278846153846154,0.965,0.946078431372549
151,5,10,0.8,5,0.971875,0.945,0.026875000000000093,0.9278846153846154,0.965,0.946078431372549
158,5,10,1.0,2,0.976875,0.95,0.026875000000000093,0.9368932038834952,0.965,0.9507389162561576
39,3,15,0.8,5,0.965,0.9375,0.02749999999999997,0.9310344827586207,0.945,0.9379652605459057
67,4,5,0.7,5,0.975,0.9475,0.02749999999999997,0.9323671497584541,0.965,0.9484029484029484
69,4,5,0.8,1,0.99,0.9625,0.02749999999999997,0.9512195121951219,0.975,0.9629629629629629
83,4,10,0.7,5,0.9725,0.945,0.02750000000000008,0.9362745098039216,0.955,0.9455445544554455
133,5,5,0.8,1,0.9925,0.965,0.02750000000000008,0.9603960396039604,0.97,0.9651741293532339
147,5,10,0.7,5,0.9725,0.945,0.02750000000000008,0.9362745098039216,0.955,0.9455445544554455
134,5,5,0.8,2,0.985625,0.9575,0.028124999999999956,0.937799043062201,0.98,0.9584352078239609
86,4,10,0.8,2,0.980625,0.9525,0.028124999999999956,0.9330143540669856,0.975,0.9535452322738386
10,3,5,0.9,2,0.983125,0.955,0.028125000000000067,0.941747572815534,0.97,0.9556650246305419
167,5,15,0.8,5,0.96375,0.935,0.028749999999999942,0.9223300970873787,0.95,0.9359605911330049
30,3,10,1.0,2,0.97625,0.9475,0.028749999999999942,0.9365853658536586,0.96,0.9481481481481482
103,4,15,0.8,5,0.96375,0.935,0.028749999999999942,0.9223300970873787,0.95,0.9359605911330049
7,3,5,0.8,5,0.97625,0.9475,0.028749999999999942,0.9282296650717703,0.97,0.9486552567237164
138,5,5,0.9,2,0.98375,0.955,0.028750000000000053,0.9375,0.975,0.9558823529411765
47,3,15,1.0,5,0.971875,0.9425,0.02937500000000004,0.9317073170731708,0.955,0.9432098765432099
159,5,10,1.0,5,0.974375,0.945,0.02937500000000004,0.9362745098039216,0.955,0.9455445544554455
74,4,5,0.9,2,0.981875,0.9525,0.02937500000000004,0.9330143540669856,0.975,0.9535452322738386
63,3,20,1.0,5,0.969375,0.94,0.02937500000000004,0.9313725490196079,0.95,0.9405940594059405
59,3,20,0.9,5,0.965,0.935,0.029999999999999916,0.9306930693069307,0.94,0.9353233830845771
19,3,10,0.7,5,0.97,0.94,0.030000000000000027,0.9313725490196079,0.95,0.9405940594059405
139,5,5,0.9,5,0.98,0.95,0.030000000000000027,0.9368932038834952,0.965,0.9507389162561576
141,5,5,1.0,1,0.985625,0.955,0.030625000000000013,0.9375,0.975,0.9558823529411765
110,4,15,1.0,2,0.973125,0.9425,0.030625000000000013,0.9359605911330049,0.95,0.9429280397022333
18,3,10,0.7,2,0.978125,0.9475,0.030625000000000013,0.9365853658536586,0.96,0.9481481481481482
137,5,5,0.9,1,0.990625,0.96,0.030625000000000013,0.9466019417475728,0.975,0.9605911330049262
94,4,10,1.0,2,0.97625,0.945,0.03125,0.9320388349514563,0.96,0.9458128078817734
154,5,10,0.9,2,0.97625,0.945,0.03125,0.9278846153846154,0.965,0.946078431372549
135,5,5,0.8,5,0.97375,0.9425,0.03125,0.9317073170731708,0.955,0.9432098765432099
38,3,15,0.8,2,0.971875,0.94,0.0318750000000001,0.9313725490196079,0.95,0.9405940594059405
163,5,15,0.7,5,0.9625,0.93,0.03249999999999997,0.9174757281553398,0.945,0.9310344827586207
190,5,20,1.0,2,0.97,0.9375,0.03249999999999997,0.926829268292683,0.95,0.9382716049382716
99,4,15,0.7,5,0.9625,0.93,0.03249999999999997,0.9174757281553398,0.945,0.9310344827586207
35,3,15,0.7,5,0.96,0.9275,0.03249999999999997,0.9130434782608695,0.945,0.9287469287469288
11,3,5,0.9,5,0.9775,0.945,0.032500000000000084,0.9320388349514563,0.96,0.9458128078817734
26,3,10,0.9,2,0.9775,0.945,0.032500000000000084,0.9362745098039216,0.955,0.9455445544554455
107,4,15,0.9,5,0.9725,0.94,0.032500000000000084,0.9230769230769231,0.96,0.9411764705882353
171,5,15,0.9,5,0.9725,0.94,0.032500000000000084,0.9230769230769231,0.96,0.9411764705882353
187,5,20,0.9,5,0.963125,0.93,0.03312499999999996,0.9174757281553398,0.945,0.9310344827586207
130,5,5,0.7,2,0.985625,0.9525,0.03312499999999996,0.9458128078817734,0.96,0.9528535980148883
166,5,15,0.8,2,0.970625,0.9375,0.03312499999999996,0.9227053140096618,0.955,0.9385749385749386
61,3,20,1.0,1,0.970625,0.9375,0.03312499999999996,0.926829268292683,0.95,0.9382716049382716
123,4,20,0.9,5,0.963125,0.93,0.03312499999999996,0.9174757281553398,0.945,0.9310344827586207
102,4,15,0.8,2,0.970625,0.9375,0.03312499999999996,0.9227053140096618,0.955,0.9385749385749386
5,3,5,0.8,1,0.990625,0.9575,0.03312499999999996,0.9507389162561576,0.965,0.9578163771712159
95,4,10,1.0,5,0.973125,0.94,0.03312500000000007,0.9271844660194175,0.955,0.9408866995073891
9,3,5,0.9,1,0.988125,0.955,0.03312500000000007,0.946078431372549,0.965,0.9554455445544554
27,3,10,0.9,5,0.973125,0.94,0.03312500000000007,0.9271844660194175,0.955,0.9408866995073891
43,3,15,0.9,5,0.96875,0.935,0.03374999999999995,0.9264705882352942,0.945,0.9356435643564357
146,5,10,0.7,2,0.97625,0.9425,0.03374999999999995,0.9359605911330049,0.95,0.9429280397022333
126,4,20,1.0,2,0.96625,0.9325,0.03375000000000006,0.9219512195121952,0.945,0.9333333333333333
13,3,5,1.0,1,0.98375,0.95,0.03375000000000006,0.9368932038834952,0.965,0.9507389162561576
22,3,10,0.8,2,0.97875,0.945,0.03375000000000006,0.9278846153846154,0.965,0.946078431372549
31,3,10,1.0,5,0.97375,0.94,0.03375000000000006,0.9271844660194175,0.955,0.9408866995073891
91,4,10,0.9,5,0.97375,0.94,0.03375000000000006,0.9271844660194175,0.955,0.9408866995073891
79,4,5,1.0,5,0.981875,0.9475,0.034375000000000044,0.9323671497584541,0.965,0.9484029484029484
111,4,15,1.0,5,0.971875,0.9375,0.034375000000000044,0.9310344827586207,0.945,0.9379652605459057
42,3,15,0.9,2,0.974375,0.94,0.034375000000000044,0.9313725490196079,0.95,0.9405940594059405
191,5,20,1.0,5,0.966875,0.9325,0.034375000000000044,0.9219512195121952,0.945,0.9333333333333333
